tipologia,autore_saggio,precisazione_autore,titolo_saggio,autore_curatore_volume,precisazione_curatore,titolo_volume,luogo,editore,anno,volumi,rivista,annata,fascicolo,pagine
monografia,,,,"Pupillo, Giuseppe",a cura di,"L'insegnamento di Ettore Gallo (Atti del convegno, Vicenza 22 marzo 2003)",Sommacampagna,"Cierre - Vicenza, Istituto storico della Resistenza e dell'età contemporanea della provincia di Vicenza 'Ettore Gallo'",2008,,,,,296
articolo in rivista,"Agosti, Guido",,Antonio Vallisneri (1661-1730); Lazzaro Spallanzani (1729-1799); Bonaventura Corti (1729-1813),,,,,,2008,,«Bollettino storico reggiano»,40,136.0,7-17
articolo in volume miscellaneo,"De Fort, Ester",,Le Università,"Isnenghi, Mario - Cecchinato, Eva",a cura di,"Gli italiani in guerra. Conflitti, identità, memorie dal Risorgimento ai giorni nostri",Torino,Utet,2008,,,,,467-482
articolo in volume miscellaneo,"Silvestri, Andrea",,Per un Museo Archivio del Politecnico di Milano: la valorizzazione delle collezioni dell'Istituzione Elettrotecnica Carlo Erba,"Cilli, Cristina - Malerba, Giancarla - Giacobini, Giacomo",a cura di,Museologia scientifica. Memorie. Atti del XIV Congresso ANMS. Il patrimonio della scienza. Le collezioni di interesse storico. Torino 10-12 novembre 2004,,,2008,,,"febbraio, 2",,259-265
monografia,,,,"Veggetti, Alba- Cartoceti, Luca",a cura di,Atti V Convegno Nazionale di Storia della Medicina Veterinaria,Brescia,Tipografia Camuna,2008,,,,,330
monografia,,,,"Carella, Candida",,L’insegnamento della filosofia alla “Sapienza” di Roma nel Seicento. Le cattedre e i maestri,Firenze,Leo Olschki,2008,,,,,258
monografia,,,,"Fini, Marcello",,Biografie Accademiche. I presidenti da Alamanno Isolani a Giuseppe Medici. 1807-1995,Bologna,Tipolito Tamari snc.,2008,,,,,118
monografia,,,,"Giumanini, Michelangelo L.",,Uomini dell’Accademia. Studio prosopografico sui presidenti e sul personale dell’Accademia di belle arti di Bologna (1803-1877),Bologna,Bononia University Press,2008,,,,,478
poligrafia,,,,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,"La storia delle università alle soglie del XXI secolo. La ricerca dei giovani studiosi tra fonti e nuovi percorsi di indagine. Atti del Convegno internazionale di studi. Aosta, 18-20 dicembre 2006",Bologna,Clueb,2008,,,,,409
articolo in volume miscellaneo,"Zucchini, Stefania",,Le spese per lo Studium nella gestione finanziaria del Comune di Perugia tra la seconda metà del Trecento e l'inizio del Cinquecento,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,15-25
articolo in volume miscellaneo,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",,Introduzione,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,9-12
articolo in volume miscellaneo,"Bellini, Erika",,Relazione sullo stato della ricerca: Comune e Studium a Perugia tra Quattrocento e Cinquecento,"Gheda, Paolo-Guerrini, Maria Teresa-Negruzzo, Simona-Salustri, Simona",a cura di,La storia delle università alle soglie del XXI secolo,Bologna,Clueb,2008,,,,,27-35
